url,desktop_response_time,mobile_response_time,desktop_http_status,mobile_http_status,desktop_title,mobile_title,desktop_description,mobile_description,is_mobile_friendly,title_similarity,description_similarity,response_time_difference
https://twitter.com/intent/tweet?text=Why%20Vaccination%3F%F0%9F%92%89%20-%20A%20guide%20to%20vaccination%20for%20teens%20in%20India&url=https://fampay.in/blog/why-vaccination-a-guide-to-vaccination-for-teens-in-india/,1.228999137878418,1.1771836280822754,200,200,,,,,True,0.0,0.0,0.05181550979614258
https://www.facebook.com/sharer/sharer.php?u=https://fampay.in/blog/study-habits-that-are-simple-and-highly-effective/,0.3195819854736328,0.9753057956695556,200,200,Facebook,Facebook में लॉग इन करें | Facebook,,"अपने दोस्तों, परिवार और परिचित लोगों से शेयर करना और कनेक्ट करना शुरू करने के लिए Facebook में लॉग इन करें.",False,0.22857142857142856,0.0,0.6557238101959227
https://twitter.com/intent/tweet?text=Study%20habits%20that%20are%20simple%20and%20highly%20effective%20%F0%9F%93%9A&url=https://fampay.in/blog/study-habits-that-are-simple-and-highly-effective/,1.0668320655822754,1.0363059043884275,200,200,,,,,True,0.0,0.0,0.03052616119384788
https://www.facebook.com/sharer/sharer.php?u=https://fampay.in/blog/how-to-save-those-extra-bucks-while-shopping/,0.4715259075164795,0.9508936405181884,200,200,Facebook,Facebook में लॉग इन करें | Facebook,,"अपने दोस्तों, परिवार और परिचित लोगों से शेयर करना और कनेक्ट करना शुरू करने के लिए Facebook में लॉग इन करें.",False,0.22857142857142856,0.0,0.4793677330017089
https://twitter.com/intent/tweet?text=How%20to%20save%20those%20extra%20bucks%20while%20shopping%20%F0%9F%8F%AC&url=https://fampay.in/blog/how-to-save-those-extra-bucks-while-shopping/,1.1551837921142578,1.2117478847503662,200,200,,,,,True,0.0,0.0,0.0565640926361084
https://www.facebook.com/sharer/sharer.php?u=https://fampay.in/blog/teen-fashion-trends-that-we-love/,0.5887017250061035,1.0749835968017578,200,200,Facebook,Facebook में लॉग इन करें | Facebook,,"अपने दोस्तों, परिवार और परिचित लोगों से शेयर करना और कनेक्ट करना शुरू करने के लिए Facebook में लॉग इन करें.",False,0.22857142857142856,0.0,0.4862818717956543
https://twitter.com/intent/tweet?text=Teen%20fashion%20trends%20that%20you%20really%20don't%20want%20to%20miss%F0%9F%91%95%F0%9F%98%8D&url=https://fampay.in/blog/teen-fashion-trends-that-we-love/,1.0264415740966797,1.0780317783355713,200,200,,,,,True,0.0,0.0,0.0515902042388916
https://www.facebook.com/sharer/sharer.php?u=https://fampay.in/blog/how-to-build-your-resume-and-portfolio-right-from-school/,0.6902816295623779,1.154449224472046,200,200,Facebook,Facebook में लॉग इन करें | Facebook,,"अपने दोस्तों, परिवार और परिचित लोगों से शेयर करना और कनेक्ट करना शुरू करने के लिए Facebook में लॉग इन करें.",False,0.22857142857142856,0.0,0.46416759490966797
https://twitter.com/intent/tweet?text=How%20to%20build%20your%20resume%20right%20from%20school%20%F0%9F%9A%80&url=https://fampay.in/blog/how-to-build-your-resume-and-portfolio-right-from-school/,1.0497426986694336,1.0369455814361572,200,200,,,,,True,0.0,0.0,0.012797117233276367
https://www.facebook.com/sharer/sharer.php?u=https://fampay.in/blog/productivity-hacks-for-teens-this-will-change-your-life/,0.4180531501770019,0.9542198181152344,200,200,Facebook,Facebook में लॉग इन करें | Facebook,,"अपने दोस्तों, परिवार और परिचित लोगों से शेयर करना और कनेक्ट करना शुरू करने के लिए Facebook में लॉग इन करें.",False,0.22857142857142856,0.0,0.5361666679382324
