url,desktop_response_time,mobile_response_time,desktop_http_status,mobile_http_status,desktop_title,mobile_title,desktop_description,mobile_description,is_mobile_friendly
https://fampay.in/blog/tag/news/,0.30600666999816895,0.2840397357940674,200,200,FamPay | News and Growth updates,FamPay | News and Growth updates,"Read our latest news and announcements, and learn more about FamPay's growth and culture.","Read our latest news and announcements, and learn more about FamPay's growth and culture.",True
https://fampay.in/blog/teen-focused-fintech-startup-fampay-raises-38m-in-series-a/,0.2840433120727539,0.27400970458984375,200,200,Teen focused fintech startup FamPay raises $38M in Series A,Teen focused fintech startup FamPay raises $38M in Series A,"FamPay, a fintech startup aiming to build India's first neo-bank for teenagers, has announced the fundraise of US$38 million Series A, led by Elevation Capital and major participation from existing investor Sequoia Capital India.","FamPay, a fintech startup aiming to build India's first neo-bank for teenagers, has announced the fundraise of US$38 million Series A, led by Elevation Capital and major participation from existing investor Sequoia Capital India.",True
https://fampay.in/blog/fampay-is-set-to-launch-indias-first-and-biggest-digi-fest-for-teens/,0.5103108882904053,0.2787177562713623,200,200,FamPay is set to launch India’s first and biggest Digi-Fest for Teens,FamPay is set to launch India’s first and biggest Digi-Fest for Teens,"FamJam 2.0, a digital edition of FamPay’s annual community event for teenagers, will be held on Nov 28-29, 2020. With 20+ diverse competitions for teens, prize money upto Rs 1 Lakh is up for grabs","FamJam 2.0, a digital edition of FamPay’s annual community event for teenagers, will be held on Nov 28-29, 2020. With 20+ diverse competitions for teens, prize money upto Rs 1 Lakh is up for grabs",True
https://fampay.in/blog/zetas-fusion-to-power-fampays-cashless-payments-for-gen-z/,0.26725006103515625,0.2988433837890625,200,200,Zeta’s Fusion to power FamPay’s cashless payments for Gen Z,Zeta’s Fusion to power FamPay’s cashless payments for Gen Z,"Zeta, India’s leading banking tech company, today announced that its embeddable banking API-based marketplace called ‘Fusion’ will power FamPay’s neo banking solution for Gen Z.","Zeta, India’s leading banking tech company, today announced that its embeddable banking API-based marketplace called ‘Fusion’ will power FamPay’s neo banking solution for Gen Z.",True
https://fampay.in/blog/digital-payments-exploding-in-india-yet-the-tech-savvy-teens-still-stuck-paying-with-cash-survey-by-fampay-indias-first-neobank-for-teenagers/,0.2878110408782959,0.3171651363372803,200,200,"Digital payments exploding in India, yet the tech-savvy teens still stuck paying with cash: Survey by FamPay, India’s first Neobank for teenagers","Digital payments exploding in India, yet the tech-savvy teens still stuck paying with cash: Survey by FamPay, India’s first Neobank for teenagers","India’s teenagers who are digital natives, love online shopping, a trend that has only accelerated during the last six months owing to the pandemic, reveals a survey by FamPay, India’s first Neo Bank for teenagers. Ironically, digital savvy teens are stuck paying with cash as they are not a part of the online financial ecosystem.","India’s teenagers who are digital natives, love online shopping, a trend that has only accelerated during the last six months owing to the pandemic, reveals a survey by FamPay, India’s first Neo Bank for teenagers. Ironically, digital savvy teens are stuck paying with cash as they are not a part of the online financial ecosystem.",True
https://fampay.in/blog/this-fintech-startup-by-iit-roorkee-alum-is-giving-teenagers-financial-freedom-responsibly-yourstory/,0.32330894470214844,0.3298060894012451,200,200,This fintech startup by IIT Roorkee alum is giving teenagers financial freedom responsibly: YourStory,This fintech startup by IIT Roorkee alum is giving teenagers financial freedom responsibly: YourStory,"The story about how co-founders Sambhav and Kush started FamPay in mid-2019, and embarked on a journey to provide an easy-to-use platform for children below the age of 18 to spend money with adequate supervision of their parents.","The story about how co-founders Sambhav and Kush started FamPay in mid-2019, and embarked on a journey to provide an easy-to-use platform for children below the age of 18 to spend money with adequate supervision of their parents.",True
https://fampay.in/blog/fampay-announces-launch-of-indias-first-numberless-card/,0.28160858154296875,0.27939438819885254,200,200,FamPay Announces Launch of India’s First Numberless Card,FamPay Announces Launch of India’s First Numberless Card,"FamPay, India’s first Neobank for teenagers that brings cashless convenience to millions of teens and their parents, announced the launch of India’s first numberless card.","FamPay, India’s first Neobank for teenagers that brings cashless convenience to millions of teens and their parents, announced the launch of India’s first numberless card.",True
https://fampay.in/blog/fampay-raises-4-7m-from-y-combinator-sequoia-venture-highway-others/,0.261812686920166,0.3425114154815674,200,200,"FamPay raises $4.7M from Y Combinator, Sequoia & others","FamPay raises $4.7M from Y Combinator, Sequoia & others","Teenager-focused payments app FamPay has raised $4.7 million in seed funding from a clutch of investors including Y Combinator, Sequoia India, Venture Highway and GFC (Global Founders Capital).","Teenager-focused payments app FamPay has raised $4.7 million in seed funding from a clutch of investors including Y Combinator, Sequoia India, Venture Highway and GFC (Global Founders Capital).",True
https://fampay.in/blog/tag/famsays/,0.3108644485473633,0.32653021812438965,200,200,FamSays - UnRead by FamPay,FamSays - UnRead by FamPay,"Here's a collection of our success and growth stories, directly from the Fam 👩‍🏫","Here's a collection of our success and growth stories, directly from the Fam 👩‍🏫",True
https://fampay.in/blog/a-practical-guide-to-app-store-optimization/,0.3490726947784424,0.28212547302246094,200,200,A practical guide to App Store Optimization (ASO) 📱,A practical guide to App Store Optimization (ASO) 📱,App Store Optimisation (ASO) is all about increasing the visibility of your application on the Play Store / App Store. It focuses on helping your application rank higher and hence making it more visible to customers. It is often touted as the App Store SEO.,App Store Optimisation (ASO) is all about increasing the visibility of your application on the Play Store / App Store. It focuses on helping your application rank higher and hence making it more visible to customers. It is often touted as the App Store SEO.,True
