reviewCreatedVersion,mean_score,review_count,most_common_topic
1.5.3,3.6727716727716726,819,8
1.5.5,3.742168674698795,415,1
1.5.6,3.7523510971786833,1595,1
1.5.7,3.210843373493976,166,1
1.5.8,3.737327188940092,1519,1
1.5.9,3.615075376884422,995,1
1.6.0,3.625,8,1
1.6.1,3.7184466019417477,309,1
1.6.2,3.6169617893755825,1073,1
1.6.6,3.598173515981735,1095,1
1.6.7,3.5953757225433525,173,1
1.6.8,3.503339404978749,1647,1
1.6.9,3.5392022008253097,727,1
1.7.0,3.8333333333333335,12,1
1.7.1,3.5627135187896535,2049,1
1.7.2,3.6098003629764066,1102,1
1.7.3,3.700854700854701,117,1
1.7.4,3.6580756013745703,1164,8
1.7.5,3.202054794520548,292,6
1.7.6,4.8,5,1
1.7.7,3.528720626631854,766,1
1.7.8,3.611188811188811,1430,1
1.8.0,3.0,1,1
1.8.1,2.90625,256,1
1.8.3,3.3060869565217392,575,1
1.8.4,2.6,20,1
1.8.5,3.6479591836734695,588,8
1.8.6,4.5,4,1
1.8.7,3.859265050820954,1279,3
1.8.8,3.7843511450381677,524,8
1.8.9,4.1132461161079314,2446,3
1.9.0,4.252747252747253,4823,3
1.9.3,3.8043478260869565,46,0
1.9.4,4.156883390365886,3799,3
1.9.5,4.174496644295302,149,4
1.9.7,4.166543846720708,2714,3
1.9.9,4.209173586397785,2529,3
2.0.0,4.076714975845411,5175,3
2.0.1,3.740740740740741,54,4
2.0.2,4.073802816901408,1775,3
2.0.3,4.12271186440678,1475,8
2.0.4,4.091287322564855,4086,8
2.0.6,4.132292522596549,3651,8
2.0.7,4.074074074074074,2916,8
2.0.8,4.106892618543262,6137,8
2.1.2,4.048702290076336,6550,3
2.1.4,4.001251564455569,4794,8
2.1.6,3.984926616422055,2521,8
2.1.7,4.001503759398497,7980,8
2.1.9,3.4814814814814814,54,0
2.2.0,4.171428571428572,35,8
2.2.1,5.0,1,0
2.2.2,3.9166666666666665,48,0
2.2.3,3.822108894555272,6667,0
2.2.4,3.7093023255813953,86,0
2.2.5,3.80184331797235,1085,0
2.2.6,3.4670382937469704,4126,0
2.2.7,3.784320104098894,6148,0
2.8.1,3.7235955056179777,445,8
2.8.3,3.770642201834862,218,0
2.8.4,3.2994708994708994,1890,0
2.8.5,2.8985879332477533,1558,0
2.8.7,3.5294117647058822,1496,0
2.8.8,2.6666666666666665,3,6
2.8.9,3.136865342163355,453,0
2.9.0,2.8639769452449566,1735,0
2.9.1,2.5968379446640317,253,0
2.9.2,2.7266666666666666,150,0
2.9.3,3.4340483797352808,2191,0
2.9.6,3.4289473684210527,760,0
2.9.7,3.5276073619631902,978,0
2.9.8,3.4906166219839143,746,6
2.9.9,3.5026178010471205,2674,6
3.0.1,3.5681159420289856,345,0
3.0.2,3.626847290640394,2436,3
3.1.1,3.9177018633540373,644,3
3.1.6-famx,3.469945355191257,183,3
3.1.7-famx,3.285326086956522,368,0
3.2.0,2.8,5,6
3.2.1,3.516981132075472,530,3
3.2.2,3.5849056603773586,212,3
3.2.3,3.598086124401914,209,3
3.2.4,3.7130801687763713,711,3
3.2.5,3.690082644628099,484,3
