username,text,shortcode
_kamran6009,Yaar @fam.india mera paise abhi tak migration mein phasay pdhy hai 3 mahnay se please kuch Karo please yrr😿,CrXogaGgxAL
bhuvannnn._,1st like👽,CrXogaGgxAL
gagan_gamer_official,❤️❤️❤️❤️,CrXogaGgxAL
gagan_gamer_official,🔥🔥🔥🔥,CrXogaGgxAL
_sanketbehale_,4th comment ❤️ love you fam..💗,CrXogaGgxAL
past_eraser_18_,#fampay,CrXogaGgxAL
itz_nisha.101,hey yaaa🫦😇🙈💫🥀,CrXogaGgxAL
kazi.ily,New gold feature notification 😂,CrXogaGgxAL
zz_suil,U guys have bags of fampay🙂,CrXogaGgxAL
hackin_hunter_25,"@fam.india I can make you a good logo 🤝 DM me ""FREE""",CrXogaGgxAL
____arman01____,@fam.india  I have a logo idea,CrXogaGgxAL
_blue_knights_1,❤️❤️❤️,CrXogaGgxAL
legitfamhacks,Fampay all games ke hack dera chiye to profile cheak karo,CrXogaGgxAL
nilay_chavan,Hey fam when is card going to be available?,CrXogaGgxAL
prithvi_bundela,Hire me 😶,CrXogaGgxAL
izzfinetitan,Bhai yeh bag dedo :),CrXogaGgxAL
yogeshdubey_s,Sabse uppar xXx 👽👽👽👽,CrXogaGgxAL
rupeshverma247_s_,😍😍😍,CrXogaGgxAL
ved__________0,I 😂,CrXogaGgxAL
s4hiil_ahme,my X,CrXogaGgxAL
_armaan_xs,Kiya hourha hai ye,CrXogaGgxAL
just_sanizer,@fam.india rokda mat dena bas certificate dedena bas slots badha do aur porfolio dekhlo mera😢,CrXogaGgxAL
1rhxn,@fam.india eidi to dede te,CrXogaGgxAL
vedya___0x_,Disclaimer: no fampee employees where hurt during this video,CrXogaGgxAL
hridul.s,Actually it’s not his fault u don’t have a good logo picker 🥲🥲,CrXogaGgxAL
mohammed__0404,Fampay logo change?,CrXogaGgxAL
shrii.uiux,Only a designer knows the real struggle🥲,CrXogaGgxAL
its_imran_0007,(My Exx)  Ye shi h 🔥,CrXogaGgxAL
_manasthakur_,@ayush__designs,CrXogaGgxAL
daksh_20.3,Maine pehle hi bola tha mujhe rakhlo lekin reply Kiya hi nhi kisi ne 😢,CrXogaGgxAL
btwitzaadii,Fam pay is not working 😭😭,CrXogaGgxAL
wabi.sabi_mufexza143,Don't tell me last mein wo ♾️ naya logo hai😭😂,CrXogaGgxAL
ig_doraemon.17,When gonna the 7 day streak challenge coming i am waiting for that 😢,CrXogaGgxAL
kapparimaniprakash,Bhai famx by trio tech,CrXogaGgxAL
1ntr0v3rt_7,Love that fampay bag May I have one 😂,CrXogaGgxAL
mr.changretta3,Bhaiya vo data add on ka kuch ho jata to 😅,CrXogaGgxAL
01.__aliii__.02,"@fam.india ❤️ Hello, I have made a logo for you,",CrXogaGgxAL
fit_kunal01,Mera famcoin gayab itni mehnat se jama Kiya tha,CrXogaGgxAL
fxck_lord,Bag launch kardo boht jyada sale hogi,CrXogaGgxAL
soham_xyt,Hint - 82,CrXogaGgxAL
akarshchandwani,We need a Famcard!!😂,CrXogaGgxAL
shadow_yt.20,Usse employee ki zaga mereko Lelo 😢,CrXogaGgxAL
anonymous_008899,How much for that bag?,CrXogaGgxAL
_yash_tandon,@fam.india mujhe aapne bad bhej do please or free mei paise nhi hai,CrXogaGgxAL
_yash_tandon,Please bhej do,CrXogaGgxAL
no_love_boy140,Fampay 16 taaiko contest win kiya uska reward nahi milla,CrV2kOLgqq8
shobby_52,New FamCard looks awesome but kab dere ho new famcard ye to btao 🤡,CrV2kOLgqq8
rajj_bhalavi_,FamCard kab aayega bta to do dadu 😍😍,CrV2kOLgqq8
_harsh_gupta_132,Isme pay krne ke baad cashback bhi milna chahiye,CrV2kOLgqq8
thakur887446,call ka option  ho na chahiye apna isu sahi se bata paye ❤️❤️❤️,CrV2kOLgqq8
